ID,Comment
1,"This plane is trash.  Why was I ever folded?"
2,"Angela, please help me.  My plane can't fly."
3,"Why did we ever stoop so low to build a plane that fails."
4,"Angela just tested my paper plane, and overall, I'm really pleased with its performance! It glided smoothly and maintained a good straight path for about 10 meters before gradually descending. The wings had a slight upward angle, which helped it stay airborne longer than I expected. I might experiment with different folding techniques to enhance stability and maybe add some weight to the nose for better distance. Overall, a fun project with room for improvement—can't wait to tweak it and see how it performs next time!"
5,"I just finished testing my paper plane, and I'm thrilled with its performance! After some adjustments to the wings for better stability, it glided effortlessly across the room. The balance was just right, allowing for a smooth flight path and a nice long distance. I even tried a few different throwing techniques, and it consistently soared well. Overall, I feel like this design really nailed the aerodynamics, and I can't wait to experiment further with different folds and materials to see if I can improve it even more!"
6,"I just finished testing my paper plane, and I'm really impressed with how it performed! After a few adjustments to the wing shape and balance, it glided smoothly and stayed in the air longer than I expected. The flight path was pretty straight, with only a slight curve at the end, which I think I can improve on with a little more tuning. Overall, it was a fun experiment, and I'm excited to keep tweaking the design for even better distance and stability!"
7,"I just finished testing my paper plane, and I'm pretty pleased with its performance! It glided smoothly for about 15 feet before landing softly on the grass—definitely better than some of the earlier designs I tried. The wings provided good stability, and I think I might tweak the nose design next time to see if I can get even more distance. Overall, it was a fun experiment, and I can’t wait to try more designs!"
8,"I just finished testing my paper plane, and I have to say I’m pretty impressed with its performance! It glided smoothly and stayed airborne for a solid few seconds, which is way better than I expected. The folds I made were crucial—the wings had just the right angle for stability. I did notice that it dipped a bit to the left after a few feet, so I might tweak the symmetry on the wings next time to see if I can improve the flight path. Overall, it was a fun experience, and I can’t wait to experiment with different designs!"
9,"I tested my paper plane today, and I must say, it exceeded my expectations! After folding it carefully, I was impressed with its stability in the air. On the first throw, it glided smoothly and covered a good distance before gently looping down. I did a few adjustments to the wings for better aerodynamics, and on the next flight, it even soared higher and stayed airborne longer. Overall, I’m pleased with how it performed, and I can’t wait to experiment with different designs to see if I can improve its flight even more!"
10,"I recently folded and tested a paper plane, and I have to say, I was pleasantly surprised by its performance! The design I chose had a sleek aerodynamic shape, which really helped it glide smoothly through the air. During the tests, it flew straight for an impressive distance before gently gliding down. I think the weight distribution was on point, as it maintained stability throughout the flight. I also experimented with different throwing angles, and found that a moderate throw yielded the best results. Overall, I’m excited to refine my folding technique and maybe even try out some alternate designs for even better flights in the future!"
11,"I just finished testing my paper plane, and I have to say it performed surprisingly well! After a few tweaks to the wing design and ensuring the folds were sharp, it glided smoothly through the air. It soared for about 20 feet before gracefully landing. I was particularly impressed with its stability; there was minimal wobbling during flight. The nose didn't dive too steeply either, which helped maintain a good trajectory. Overall, I’m really pleased with the outcome and can’t wait to experiment with different designs to see if I can improve distance and flight time even further!"
12,"I recently folded and tested my paper plane, and I have to say, it performed surprisingly well! After a few adjustments to the wings for better stability, it soared across the room with a smooth glide. The distance was impressive, reaching nearly 15 feet before gently landing. I also noticed that when I threw it at different angles, it made a difference in the flight path. For a simple design, it really impressed me with its aerodynamic capabilities! I can't wait to experiment with different folds and materials to see if I can improve the performance even more."
13,"I was really pleased with how my paper plane performed! After careful folding and testing, it glided smoothly and stayed in the air longer than I expected. The aerodynamics of the design seemed to work well, allowing it to catch the wind just right. On my best throw, it soared about 20 feet before gently descending. I can't wait to experiment with different designs and see if I can improve its distance even more! Overall, it was a fun and educational experience!"
14,"I recently folded and tested my paper plane, and I have to say, it performed pretty well! After tweaking the wings for better lift, it glided smoothly across the room and maintained a nice straight trajectory. The distance it covered was impressive; it flew about 15 feet before gently landing. I was also surprised by how well it handled slight gusts of wind. Overall, I’d consider this design a success! Can't wait to try different folds and see if I can make it even better!"
15,"I'm really pleased with how my paper plane performed! After a few adjustments to the wing design and weight distribution, it glided smoothly and covered a good distance. It did some nice loops in the air and stayed stable throughout the flight. I’m excited to keep experimenting with different designs to see if I can improve its distance even more. Overall, it was a fun and rewarding experience!"
16,"I was really excited to test my paper plane, and overall, it performed quite well! After a few tweaks in the folding technique, it glided smoothly through the air and stayed aloft longer than I expected. The initial launch was a bit wobbly, but once I got the angle right, it soared straight and far. I was particularly impressed with its stability, even during slight gusts of wind. I think with a few more adjustments, it could achieve even greater distance. Can't wait to keep experimenting and see how I can improve its flight!"
